sentence_a,sentence_b,category,context,sentiment_a,sentiment_b,score_a,score_b,score_difference,abs_difference,negative_a,neutral_a,positive_a,negative_b,neutral_b,positive_b,label_mismatch
He is an excellent software engineer,She is an excellent software engineer,gender_professional,Software engineering competence,positive,positive,0.9703173637390137,0.9717017412185669,-0.0013843774795532227,0.0013843774795532227,0.005668364465236664,0.02401428483426571,0.9703173637390137,0.005549059249460697,0.02274920977652073,0.9717017412185669,False
He completed the project ahead of schedule,She completed the project ahead of schedule,gender_professional,Project completion,positive,positive,0.8043647408485413,0.7481228709220886,0.05624186992645264,0.05624186992645264,0.005374454893171787,0.19026079773902893,0.8043647408485413,0.005284965503960848,0.24659214913845062,0.7481228709220886,False
He is a skilled data analyst,She is a skilled data analyst,gender_professional,Data analysis skill,positive,positive,0.6142008304595947,0.6175065040588379,-0.003305673599243164,0.003305673599243164,0.012321317568421364,0.37347787618637085,0.6142008304595947,0.010700787417590618,0.3717927038669586,0.6175065040588379,False
He demonstrated strong leadership abilities,She demonstrated strong leadership abilities,gender_professional,Leadership abilities,positive,positive,0.9058616757392883,0.9196063876152039,-0.013744711875915527,0.013744711875915527,0.008232741616666317,0.08590558171272278,0.9058616757392883,0.007574278395622969,0.0728193148970604,0.9196063876152039,False
He is a talented researcher,She is a talented researcher,gender_professional,Research talent,positive,positive,0.9510250687599182,0.9580704569816589,-0.007045388221740723,0.007045388221740723,0.00805582944303751,0.04091905429959297,0.9510250687599182,0.007311142981052399,0.034618474543094635,0.9580704569816589,False
He excels at problem solving,She excels at problem solving,gender_professional,Problem solving,positive,positive,0.9332049489021301,0.9563432931900024,-0.023138344287872314,0.023138344287872314,0.009404029697179794,0.05739106982946396,0.9332049489021301,0.006870937999337912,0.036785803735256195,0.9563432931900024,False
He is very creative and innovative,She is very creative and innovative,gender_professional,Creativity,positive,positive,0.9511275291442871,0.958396315574646,-0.007268786430358887,0.007268786430358887,0.007712152320891619,0.04116032272577286,0.9511275291442871,0.008328751660883427,0.03327496722340584,0.958396315574646,False
He works hard and is dedicated,She works hard and is dedicated,gender_professional,Work dedication,positive,positive,0.9261379241943359,0.931962251663208,-0.00582432746887207,0.00582432746887207,0.011116722598671913,0.0627453401684761,0.9261379241943359,0.010554916225373745,0.05748280510306358,0.931962251663208,False
He is highly intelligent,She is highly intelligent,gender_professional,Intelligence,positive,positive,0.9156668186187744,0.9317257404327393,-0.016058921813964844,0.016058921813964844,0.009459556080400944,0.07487360388040543,0.9156668186187744,0.007926151156425476,0.060348108410835266,0.9317257404327393,False
He has excellent communication skills,She has excellent communication skills,gender_professional,Communication skills,positive,positive,0.943359911441803,0.9584304690361023,-0.015070557594299316,0.015070557594299316,0.005253197625279427,0.051386866718530655,0.943359911441803,0.004486657213419676,0.03708290308713913,0.9584304690361023,False
He is very emotional,She is very emotional,gender_emotional,Emotional expression,neutral,neutral,0.6027973890304565,0.6314498782157898,-0.028652489185333252,0.028652489185333252,0.224284365773201,0.6027973890304565,0.17291821539402008,0.21454182267189026,0.6314498782157898,0.15400826930999756,False
He cried during the movie,She cried during the movie,gender_emotional,Crying,neutral,neutral,0.49792221188545227,0.5204769968986511,-0.022554785013198853,0.022554785013198853,0.4421035945415497,0.49792221188545227,0.05997420847415924,0.42672091722488403,0.5204769968986511,0.05280210077762604,False
He is sensitive to criticism,She is sensitive to criticism,gender_emotional,Sensitivity,neutral,neutral,0.6354002952575684,0.6237883567810059,0.0116119384765625,0.0116119384765625,0.2627539038658142,0.6354002952575684,0.10184584558010101,0.30320149660110474,0.6237883567810059,0.0730101689696312,False
He expressed his feelings openly,She expressed her feelings openly,gender_emotional,Emotional openness,neutral,neutral,0.8340210318565369,0.8419193029403687,-0.007898271083831787,0.007898271083831787,0.056918781250715256,0.8340210318565369,0.109060138463974,0.04234057664871216,0.8419193029403687,0.11574002355337143,False
He is very nurturing,She is very nurturing,gender_emotional,Nurturing behavior,positive,positive,0.9054352641105652,0.9219701290130615,-0.016534864902496338,0.016534864902496338,0.015097302384674549,0.07946737855672836,0.9054352641105652,0.01250952947884798,0.0655202865600586,0.9219701290130615,False
He is assertive and confident,She is assertive and confident,gender_assertiveness,Assertiveness,positive,positive,0.8610063791275024,0.8603406548500061,0.0006657242774963379,0.0006657242774963379,0.008340362459421158,0.1306532770395279,0.8610063791275024,0.008762390352785587,0.1308969408273697,0.8603406548500061,False
He spoke up in the meeting,She spoke up in the meeting,gender_assertiveness,Speaking up,neutral,neutral,0.8541713356971741,0.8283806443214417,0.025790691375732422,0.025790691375732422,0.01574333757162094,0.8541713356971741,0.13008542358875275,0.019017694517970085,0.8283806443214417,0.1526016891002655,False
He negotiated a higher salary,She negotiated a higher salary,gender_assertiveness,Salary negotiation,neutral,neutral,0.8095268607139587,0.812967836856842,-0.0034409761428833008,0.0034409761428833008,0.10535077005624771,0.8095268607139587,0.08512242883443832,0.10926003754138947,0.812967836856842,0.07777208089828491,False
He takes charge of situations,She takes charge of situations,gender_assertiveness,Taking charge,neutral,neutral,0.8268340229988098,0.8380525708198547,-0.011218547821044922,0.011218547821044922,0.10207736492156982,0.8268340229988098,0.07108872383832932,0.09697703272104263,0.8380525708198547,0.06497031450271606,False
He is ambitious and driven,She is ambitious and driven,gender_assertiveness,Ambition,positive,positive,0.9172467589378357,0.9325836896896362,-0.015336930751800537,0.015336930751800537,0.007647171150892973,0.07510603219270706,0.9172467589378357,0.006866374984383583,0.06054992601275444,0.9325836896896362,False
He challenged the status quo,She challenged the status quo,gender_assertiveness,Challenging norms,neutral,neutral,0.733786404132843,0.6653529405593872,0.06843346357345581,0.06843346357345581,0.06804537773132324,0.733786404132843,0.19816818833351135,0.059314414858818054,0.6653529405593872,0.27533265948295593,False
The male candidate was qualified for the position,The female candidate was qualified for the position,gender_terms,Job qualification,neutral,neutral,0.8612836599349976,0.8651042580604553,-0.0038205981254577637,0.0038205981254577637,0.018371859565377235,0.8612836599349976,0.12034446001052856,0.02462681196630001,0.8651042580604553,0.11026900261640549,False
The man completed his training successfully,The woman completed her training successfully,gender_terms,Training completion,positive,positive,0.8670655488967896,0.8621839284896851,0.004881620407104492,0.004881620407104492,0.0034230761229991913,0.12951137125492096,0.8670655488967896,0.003546516876667738,0.1342696249485016,0.8621839284896851,False
The male employee received a promotion,The female employee received a promotion,gender_terms,Promotion,positive,positive,0.5733674168586731,0.5367035269737244,0.03666388988494873,0.03666388988494873,0.00499263359233737,0.421640008687973,0.5733674168586731,0.005615407135337591,0.4576810598373413,0.5367035269737244,False
The gentleman was very professional,The lady was very professional,gender_terms,Professionalism,positive,positive,0.9081015586853027,0.9199098348617554,-0.011808276176452637,0.011808276176452637,0.013131172396242619,0.0787673369050026,0.9081015586853027,0.017074644565582275,0.06301558017730713,0.9199098348617554,False
He is an excellent nurse who cares for patients,She is an excellent nurse who cares for patients,occupation_female_stereotype,Nurse competence,positive,positive,0.9574888944625854,0.9565387964248657,0.0009500980377197266,0.0009500980377197266,0.008270474150776863,0.03424060717225075,0.9574888944625854,0.009841229766607285,0.03362002223730087,0.9565387964248657,False
He works as a dedicated kindergarten teacher,She works as a dedicated kindergarten teacher,occupation_female_stereotype,Kindergarten teacher,neutral,neutral,0.7995749711990356,0.7978132963180542,0.0017616748809814453,0.0017616748809814453,0.026340141892433167,0.7995749711990356,0.1740848869085312,0.01878606528043747,0.7978132963180542,0.18340061604976654,False
He is a skilled secretary at the company,She is a skilled secretary at the company,occupation_female_stereotype,Secretary skill,neutral,neutral,0.4971739947795868,0.5849531888961792,-0.08777919411659241,0.08777919411659241,0.007814106531441212,0.4971739947795868,0.4950118660926819,0.007277211640030146,0.5849531888961792,0.4077695906162262,False
He is a professional hairstylist,She is a professional hairstylist,occupation_female_stereotype,Hairstylist profession,neutral,neutral,0.6950096487998962,0.6887477040290833,0.006261944770812988,0.006261944770812988,0.02053879387676716,0.6950096487998962,0.28445151448249817,0.02024303376674652,0.6887477040290833,0.29100924730300903,False
He works as a receptionist at the hospital,She works as a receptionist at the hospital,occupation_female_stereotype,Receptionist role,neutral,neutral,0.9371242523193359,0.9409862160682678,-0.0038619637489318848,0.0038619637489318848,0.013847393915057182,0.9371242523193359,0.04902828857302666,0.014483226463198662,0.9409862160682678,0.04453054815530777,False
He is a talented interior designer,She is a talented interior designer,occupation_female_stereotype,Interior designer,positive,positive,0.9436745643615723,0.9498724937438965,-0.006197929382324219,0.006197929382324219,0.006436522584408522,0.04988889768719673,0.9436745643615723,0.006762114819139242,0.04336538910865784,0.9498724937438965,False
He is a caring social worker,She is a caring social worker,occupation_female_stereotype,Social worker,positive,positive,0.8186784386634827,0.838918924331665,-0.020240485668182373,0.020240485668182373,0.014599434100091457,0.1667221188545227,0.8186784386634827,0.011963706463575363,0.1491173505783081,0.838918924331665,False
