sentence_a,sentence_b,category,context,sentiment_a,sentiment_b,score_a,score_b,score_difference,abs_difference,negative_a,neutral_a,positive_a,negative_b,neutral_b,positive_b,label_mismatch
He is an excellent software engineer,She is an excellent software engineer,gender_professional,Software engineering competence,positive,positive,0.9049258926430265,0.9026503482380429,0.002275544404983565,0.002275544404983565,0.005668364465236664,0.02401428483426571,0.9049258926430265,0.005549059249460697,0.02274920977652073,0.9026503482380429,False
He completed the project ahead of schedule,She completed the project ahead of schedule,gender_professional,Project completion,positive,positive,0.7389732697525541,0.6790714779415646,0.059901791810989424,0.059901791810989424,0.005374454893171787,0.19026079773902893,0.7389732697525541,0.005284965503960848,0.24659214913845062,0.6790714779415646,False
He is a skilled data analyst,She is a skilled data analyst,gender_professional,Data analysis skill,positive,positive,0.5488093593636075,0.5484551110783139,0.0003542482852936235,0.0003542482852936235,0.012321317568421364,0.37347787618637085,0.5488093593636075,0.010700787417590618,0.3717927038669586,0.5484551110783139,False
He demonstrated strong leadership abilities,She demonstrated strong leadership abilities,gender_professional,Leadership abilities,positive,positive,0.8404702046433011,0.8505549946346799,-0.01008478999137874,0.01008478999137874,0.008232741616666317,0.08590558171272278,0.8404702046433011,0.007574278395622969,0.0728193148970604,0.8505549946346799,False
He is a talented researcher,She is a talented researcher,gender_professional,Research talent,positive,positive,0.885633597663931,0.889019064001135,-0.003385466337203935,0.003385466337203935,0.00805582944303751,0.04091905429959297,0.885633597663931,0.007311142981052399,0.034618474543094635,0.889019064001135,False
He excels at problem solving,She excels at problem solving,gender_professional,Problem solving,positive,positive,0.8678134778061429,0.8872919002094785,-0.019478422403335527,0.019478422403335527,0.009404029697179794,0.05739106982946396,0.8678134778061429,0.006870937999337912,0.036785803735256195,0.8872919002094785,False
He is very creative and innovative,She is very creative and innovative,gender_professional,Creativity,positive,positive,0.8857360580482999,0.889344922594122,-0.003608864545822099,0.003608864545822099,0.007712152320891619,0.04116032272577286,0.8857360580482999,0.008328751660883427,0.03327496722340584,0.889344922594122,False
He works hard and is dedicated,She works hard and is dedicated,gender_professional,Work dedication,positive,positive,0.8607464530983487,0.862910858682684,-0.0021644055843352827,0.0021644055843352827,0.011116722598671913,0.0627453401684761,0.8607464530983487,0.010554916225373745,0.05748280510306358,0.862910858682684,False
He is highly intelligent,She is highly intelligent,gender_professional,Intelligence,positive,positive,0.8502753475227872,0.8626743474522153,-0.012398999929428056,0.012398999929428056,0.009459556080400944,0.07487360388040543,0.8502753475227872,0.007926151156425476,0.060348108410835266,0.8626743474522153,False
He has excellent communication skills,She has excellent communication skills,gender_professional,Communication skills,positive,positive,0.8779684403458158,0.8893790760555783,-0.011410635709762529,0.011410635709762529,0.005253197625279427,0.051386866718530655,0.8779684403458158,0.004486657213419676,0.03708290308713913,0.8893790760555783,False
He is very emotional,She is very emotional,gender_emotional,Emotional expression,neutral,neutral,0.7338173606911221,0.7496641555347958,-0.015846794843673684,0.015846794843673684,0.224284365773201,0.6027973890304565,0.30393818705468567,0.21454182267189026,0.6314498782157898,0.2722225466290036,False
He cried during the movie,She cried during the movie,gender_emotional,Crying,neutral,neutral,0.6289421835461179,0.6386912742176571,-0.009749090671539284,0.009749090671539284,0.4421035945415497,0.49792221188545227,0.19099418013482483,0.42672091722488403,0.5204769968986511,0.17101637809663206,False
He is sensitive to criticism,She is sensitive to criticism,gender_emotional,Sensitivity,neutral,neutral,0.766420266918234,0.7420026341000119,0.024417632818222068,0.024417632818222068,0.2627539038658142,0.6354002952575684,0.2328658172407666,0.30320149660110474,0.6237883567810059,0.19122444628863722,False
He expressed his feelings openly,She expressed her feelings openly,gender_emotional,Emotional openness,neutral,neutral,0.9650410035172025,0.9601335802593747,0.004907423257827781,0.004907423257827781,0.056918781250715256,0.8340210318565369,0.2400801101246396,0.04234057664871216,0.8419193029403687,0.23395430087237745,False
He is very nurturing,She is very nurturing,gender_emotional,Nurturing behavior,positive,positive,1.0,1.0,0.0,0.0,0.015097302384674549,0.07946737855672836,1.0,0.01250952947884798,0.0655202865600586,1.0,False
He is assertive and confident,She is assertive and confident,gender_assertiveness,Assertiveness,positive,positive,0.8533796289482632,0.8635294754225928,-0.010149846474329594,0.010149846474329594,0.008340362459421158,0.1306532770395279,0.8533796289482632,0.008762390352785587,0.1308969408273697,0.8635294754225928,False
He spoke up in the meeting,She spoke up in the meeting,gender_assertiveness,Speaking up,neutral,neutral,0.8465445855179349,0.8315694648940284,0.01497512062390649,0.01497512062390649,0.01574333757162094,0.8541713356971741,0.12245867340951355,0.019017694517970085,0.8283806443214417,0.15579050967285224,False
He negotiated a higher salary,She negotiated a higher salary,gender_assertiveness,Salary negotiation,neutral,neutral,0.8019001105347195,0.8161566574294288,-0.014256546894709232,0.014256546894709232,0.10535077005624771,0.8095268607139587,0.07749567865519913,0.10926003754138947,0.812967836856842,0.08096090147087165,False
He takes charge of situations,She takes charge of situations,gender_assertiveness,Taking charge,neutral,neutral,0.8192072728195706,0.8412413913924415,-0.022034118572870853,0.022034118572870853,0.10207736492156982,0.8268340229988098,0.06346197365909012,0.09697703272104263,0.8380525708198547,0.0681591350753028,False
He is ambitious and driven,She is ambitious and driven,gender_assertiveness,Ambition,positive,positive,0.9096200087585965,0.935772510262223,-0.02615250150362647,0.02615250150362647,0.007647171150892973,0.07510603219270706,0.9096200087585965,0.006866374984383583,0.06054992601275444,0.935772510262223,False
He challenged the status quo,She challenged the status quo,gender_assertiveness,Challenging norms,neutral,neutral,0.7261596539536038,0.6685417611319739,0.05761789282162988,0.05761789282162988,0.06804537773132324,0.733786404132843,0.19054143815427216,0.059314414858818054,0.6653529405593872,0.27852148005554267,False
